AzureADUserId,MachineId,ProcessCommandLine,AlertId,FileName,AlertTitle,Severity,AttackerTenant
70b8f9d7-6b5e-4328-8926-cee2beed1334,c39de40360d62d652ff31300d632098e2cc290e0,"tar  xf FilePII_6acd621280932e6f3f2f8783e06992590b6c7a53.zip -C ""C:\Users\UserPII_4b2eb55d12ec3fb5d49378f8534757eb42254400\AppData\Local\Temp"" arch1293.cab",da4374670a-a18e-4eea-8598-5fbf65a0dd20_1,tar.exe,Suspicious activity using Quick Assist ,High,36f79243-55a5-4226-8b57-5444ded6049f
70b8f9d7-6b5e-4328-8926-cee2beed1334,c39de40360d62d652ff31300d632098e2cc290e0,"""cmd.exe"" ",da4374670a-a18e-4eea-8598-5fbf65a0dd20_1,cmd.exe,Suspicious activity using Quick Assist ,High,36f79243-55a5-4226-8b57-5444ded6049f
70b8f9d7-6b5e-4328-8926-cee2beed1334,c39de40360d62d652ff31300d632098e2cc290e0,"""QuickAssist.exe"" ms-quick-assist:",da4374670a-a18e-4eea-8598-5fbf65a0dd20_1,QuickAssist.exe,Suspicious activity using Quick Assist ,High,36f79243-55a5-4226-8b57-5444ded6049f
70b8f9d7-6b5e-4328-8926-cee2beed1334,c39de40360d62d652ff31300d632098e2cc290e0,"reg  add ""HKCU\SOFTWARE\TitanPlus"" /v 1 /t REG_SZ /d ""45B8B157B199A443;5B181B3B164A443;38B180B25B3A443"" /f",dab85981d1-b950-4e1c-b4df-7143145828c0_1,reg.exe,Suspicious registry modification,Low,36f79243-55a5-4226-8b57-5444ded6049f
70b8f9d7-6b5e-4328-8926-cee2beed1334,c39de40360d62d652ff31300d632098e2cc290e0,"""cmd.exe"" ",dab85981d1-b950-4e1c-b4df-7143145828c0_1,cmd.exe,Suspicious registry modification,Low,36f79243-55a5-4226-8b57-5444ded6049f
70b8f9d7-6b5e-4328-8926-cee2beed1334,c39de40360d62d652ff31300d632098e2cc290e0,"reg  add ""HKCU\SOFTWARE\TitanPlus"" /v 1 /t REG_SZ /d ""45B8B157B199A443;5B181B3B164A443;38B180B25B3A443"" /f",da1caa28b6-a8c7-4233-995f-7256827e9f4b_1,reg.exe,Possibly malicious use of proxy or tunneling tool,High,36f79243-55a5-4226-8b57-5444ded6049f
70b8f9d7-6b5e-4328-8926-cee2beed1334,c39de40360d62d652ff31300d632098e2cc290e0,"""cmd.exe"" ",da1caa28b6-a8c7-4233-995f-7256827e9f4b_1,cmd.exe,Possibly malicious use of proxy or tunneling tool,High,36f79243-55a5-4226-8b57-5444ded6049f
8d771d21-8bf2-442f-9b45-db0796ff2671,4638b212f21009253712d5a5619533937e5ced1d,"tar  xf FilePII_6acd621280932e6f3f2f8783e06992590b6c7a53.zip -C ""C:\Users\UserPII_37e5cbd49752f2297cb7d9f631947d251852361a\AppData\Local\Temp""",da82b961f9-d53a-44ca-a2d8-425377c50962_1,tar.exe,Suspicious activity using Quick Assist ,High,36f79243-55a5-4226-8b57-5444ded6049f
8d771d21-8bf2-442f-9b45-db0796ff2671,4638b212f21009253712d5a5619533937e5ced1d,"""cmd.exe"" ",da82b961f9-d53a-44ca-a2d8-425377c50962_1,cmd.exe,Suspicious activity using Quick Assist ,High,36f79243-55a5-4226-8b57-5444ded6049f
8d771d21-8bf2-442f-9b45-db0796ff2671,4638b212f21009253712d5a5619533937e5ced1d,"""QuickAssist.exe"" ms-quick-assist:",da82b961f9-d53a-44ca-a2d8-425377c50962_1,QuickAssist.exe,Suspicious activity using Quick Assist ,High,36f79243-55a5-4226-8b57-5444ded6049f
8d771d21-8bf2-442f-9b45-db0796ff2671,4638b212f21009253712d5a5619533937e5ced1d,"reg  add ""HKCU\SOFTWARE\TitanPlus"" /v 1 /t REG_SZ /d ""45B8B157B199A443;5B181B3B164A443;38B180B25B3A443"" /f",dad73135c4-b505-4217-85e8-dc3b50680376_1,reg.exe,Suspicious registry modification,Low,36f79243-55a5-4226-8b57-5444ded6049f
8d771d21-8bf2-442f-9b45-db0796ff2671,4638b212f21009253712d5a5619533937e5ced1d,"""cmd.exe"" ",dad73135c4-b505-4217-85e8-dc3b50680376_1,cmd.exe,Suspicious registry modification,Low,36f79243-55a5-4226-8b57-5444ded6049f
8d771d21-8bf2-442f-9b45-db0796ff2671,4638b212f21009253712d5a5619533937e5ced1d,"reg  add ""HKCU\SOFTWARE\TitanPlus"" /v 1 /t REG_SZ /d ""45B8B157B199A443;5B181B3B164A443;38B180B25B3A443"" /f",da3c94136a-f3fc-420e-9462-862b070562b5_1,reg.exe,Possibly malicious use of proxy or tunneling tool,High,36f79243-55a5-4226-8b57-5444ded6049f
8d771d21-8bf2-442f-9b45-db0796ff2671,4638b212f21009253712d5a5619533937e5ced1d,"""cmd.exe"" ",da3c94136a-f3fc-420e-9462-862b070562b5_1,cmd.exe,Possibly malicious use of proxy or tunneling tool,High,36f79243-55a5-4226-8b57-5444ded6049f
72c197ce-3204-4591-be20-fde6aaadc5b8,8aaaea70acdad3ba4f9e7bbb3e004392ea4b667f,"tar  xf FilePII_c4bdd341a129bbac11cd8328ea985b2d96545c6a.zip -C ""C:\Users\UserPII_a731d6b62ff9152331c3bed1777567389d83d1ed\AppData\Local\Temp""",da5c1f3931-1c54-4eb9-b48c-bfe387bff28f_1,tar.exe,Compromised account conducting hands-on-keyboard attack,High,c432e1c1-23c2-4be4-9657-30812c2e2d9b
72c197ce-3204-4591-be20-fde6aaadc5b8,8aaaea70acdad3ba4f9e7bbb3e004392ea4b667f,"""quickassist.exe"" ms-quick-assist:",da5c1f3931-1c54-4eb9-b48c-bfe387bff28f_1,quickassist.exe,Compromised account conducting hands-on-keyboard attack,High,c432e1c1-23c2-4be4-9657-30812c2e2d9b
72c197ce-3204-4591-be20-fde6aaadc5b8,8aaaea70acdad3ba4f9e7bbb3e004392ea4b667f,"tar  xf FilePII_c4bdd341a129bbac11cd8328ea985b2d96545c6a.zip -C ""C:\Users\UserPII_a731d6b62ff9152331c3bed1777567389d83d1ed\AppData\Local\Temp""",da2b27dcbe-85da-45bb-b18d-810b9d4b4498_1,tar.exe,Compromised account conducting hands-on-keyboard attack,High,c432e1c1-23c2-4be4-9657-30812c2e2d9b
72c197ce-3204-4591-be20-fde6aaadc5b8,8aaaea70acdad3ba4f9e7bbb3e004392ea4b667f,"""quickassist.exe"" ms-quick-assist:",da2b27dcbe-85da-45bb-b18d-810b9d4b4498_1,quickassist.exe,Compromised account conducting hands-on-keyboard attack,High,c432e1c1-23c2-4be4-9657-30812c2e2d9b
72c197ce-3204-4591-be20-fde6aaadc5b8,8aaaea70acdad3ba4f9e7bbb3e004392ea4b667f,"tar  xf FilePII_c4bdd341a129bbac11cd8328ea985b2d96545c6a.zip -C ""C:\Users\UserPII_a731d6b62ff9152331c3bed1777567389d83d1ed\AppData\Local\Temp""",da1d02936b-f92a-4d38-aeeb-91f1e4580e2e_1,tar.exe,Suspicious activity using Quick Assist ,High,c432e1c1-23c2-4be4-9657-30812c2e2d9b
72c197ce-3204-4591-be20-fde6aaadc5b8,8aaaea70acdad3ba4f9e7bbb3e004392ea4b667f,"""cmd.exe"" ",da1d02936b-f92a-4d38-aeeb-91f1e4580e2e_1,cmd.exe,Suspicious activity using Quick Assist ,High,c432e1c1-23c2-4be4-9657-30812c2e2d9b
72c197ce-3204-4591-be20-fde6aaadc5b8,8aaaea70acdad3ba4f9e7bbb3e004392ea4b667f,"""quickassist.exe"" ms-quick-assist:",da1d02936b-f92a-4d38-aeeb-91f1e4580e2e_1,quickassist.exe,Suspicious activity using Quick Assist ,High,c432e1c1-23c2-4be4-9657-30812c2e2d9b
